ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	long_nb	short1_nb	short2_nb
141	101	3	2	0.000000	91.346535	89.930693	0.000000	0.000000	0	0	0
142	22748	0	0	0.000000	18.469536	18.464568	0.000000	0.000000	0	0	0
143	14	1	1	0.000000	128.000000	97.857143	0.000000	0.000000	0	0	0
144	311	2	2	0.000000	114.327974	109.543408	0.000000	0.000000	0	0	0
145	15016	1	2	0.000000	18.865077	18.865077	0.000000	0.000000	0	0	0
146	654	2	2	0.000000	35.649847	31.996942	0.000000	0.000000	0	0	0
147	391	2	1	0.000000	193.544757	189.109974	0.000000	0.000000	0	0	0
148	2273	1	1	0.000000	17.956445	17.857897	0.000000	0.000000	0	0	0
149	17	1	3	0.000000	226.176471	226.176471	0.000000	0.000000	0	0	0
150	209	2	2	0.000000	258.674641	258.674641	0.000000	0.000000	0	0	0
151	2561	0	2	0.000000	18.876220	18.876220	0.000000	0.000000	0	0	0
152	2796	1	1	0.000000	20.374821	20.374821	0.000000	0.000000	0	0	0
153	50	3	1	0.000000	163.280000	154.260000	0.000000	0.000000	0	0	0
154	1	3	1	0.000000	62.000000	62.000000	0.000000	0.000000	0	0	0
155	20498	0	1	0.000000	18.610206	18.599083	0.000000	0.000000	0	0	0
156	10870	1	0	0.000000	18.375897	18.375897	0.000000	0.000000	0	0	0
157	26003	1	2	0.000000	18.816060	18.803523	0.000000	0.000000	0	0	0
158	1817	1	1	0.000000	20.090259	20.090259	0.000000	0.000000	0	0	0
159	14094	1	0	0.000000	19.747055	19.747055	0.000000	0.000000	0	0	0
160	9941	2	1	0.000000	20.312946	20.312946	0.000000	0.000000	0	0	0
161	1118	0	2	0.000000	16.393560	16.393560	0.000000	0.000000	0	0	0
162	81	1	1	0.000000	21.469136	21.469136	0.000000	0.000000	0	0	0
163	2	1	2	0.000000	55.000000	55.000000	0.000000	0.000000	0	0	0
164	7425	2	2	0.000000	19.488350	19.488350	0.000000	0.000000	0	0	0
165	31552	1	1	0.000000	19.079932	19.077269	0.000000	0.000000	0	0	0
166	4	1	2	0.000000	47.500000	47.500000	0.000000	0.000000	0	0	0
167	1	1	2	0.000000	61.000000	61.000000	0.000000	0.000000	0	0	0
168	4	1	2	0.000000	87.500000	87.500000	0.000000	0.000000	0	0	0
169	4953	0	2	0.000000	16.896023	16.896023	0.000000	0.000000	0	0	0
170	89	2	2	0.000000	69.617978	69.617978	0.000000	0.000000	0	0	0
171	56	1	1	0.000000	31.053571	31.053571	0.000000	0.000000	0	0	0
172	6	2	2	0.000000	54.333333	52.500000	0.000000	0.000000	0	0	0
173	90	1	1	0.000000	31.288889	31.288889	0.000000	0.000000	0	0	0
174	9500	0	1	0.000000	21.362526	21.353789	0.000000	0.000000	0	0	0
175	1648	0	1	0.000000	18.962379	18.962379	0.000000	0.000000	0	0	0
176	2750	2	0	0.000000	20.316000	20.316000	0.000000	0.000000	0	0	0
177	13473	1	1	0.000000	20.522007	20.499814	0.000000	0.000000	0	0	0
178	227	1	1	0.000000	12.651982	12.651982	0.000000	0.000000	0	0	0
179	8	2	2	0.000000	54.375000	54.375000	0.000000	0.000000	0	0	0
180	4	1	3	0.000000	161.000000	161.000000	0.000000	0.000000	0	0	0
181	262	2	2	0.000000	154.244275	112.446565	0.000000	0.000000	0	0	0
182	1	2	1	0.000000	48.000000	48.000000	0.000000	0.000000	0	0	0
183	9726	1	1	0.000000	17.697101	17.697101	0.000000	0.000000	0	0	0
184	5537	0	1	0.000000	20.615857	20.615857	0.000000	0.000000	0	0	0
